what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1369902482591
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369902482591
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1369902482591
java.specification.name,sysinfo,,,"Java Platform API Specification",1369902482591
java.specification.vendor,sysinfo,,,"Oracle Corporation",1369902482591
java.specification.version,sysinfo,,,"1.7",1369902482591
java.vendor,sysinfo,,,"Oracle Corporation",1369902482591
java.version,sysinfo,,,"1.7.0_07",1369902482591
java.vm.info,sysinfo,,,"mixed mode",1369902482591
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369902482591
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369902482591
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369902482591
java.vm.specification.version,sysinfo,,,"1.7",1369902482591
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369902482591
java.vm.version,sysinfo,,,"23.3-b01",1369902482591
opened,view,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1369902494059
activated,view,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1369902494183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1369902494236
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1369902511165
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1369902511248
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1369902511249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369902519136
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1369902525390
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1369902525598
